iter	Passed	Remaining
0	198	198290
1	212	106215
2	224	74654
3	233	58091
4	244	48752
5	255	42386
6	264	37560
7	276	34242
8	284	31378
9	295	29277
10	313	28154
11	331	27297
12	350	26617
13	372	26240
14	391	25711
15	407	25079
16	427	24735
17	457	24933
18	479	24756
19	493	24157
20	514	23990
21	536	23865
22	550	23397
23	560	22813
24	574	22401
25	591	22147
26	604	21799
27	622	21621
28	644	21573
29	656	21215
30	667	20864
31	676	20460
32	688	20162
33	698	19856
34	707	19517
35	720	19280
36	729	18975
37	740	18733
38	753	18566
39	764	18356
40	773	18096
41	785	17919
42	804	17912
43	823	17890
44	842	17878
45	874	18134
46	920	18660
47	942	18698
48	980	19026
49	1098	20879
50	1258	23422
51	1297	23654
52	1341	23961
53	1428	25029
54	1478	25411
55	1547	26080
56	1622	26845
57	1663	27009
58	1722	27467
59	1776	27826
60	1827	28137
61	1886	28539
62	1946	28948
63	2014	29455
64	2133	30684
65	2244	31758
66	2294	31953
67	2329	31934
68	2356	31792
69	2381	31633
70	2407	31500
71	2428	31300
72	2446	31068
73	2464	30842
74	2483	30632
75	2504	30448
76	2516	30168
77	2532	29929
78	2548	29705
79	2563	29474
80	2589	29374
81	2609	29215
82	2632	29089
83	2652	28927
84	2671	28757
85	2692	28611
86	2724	28589
87	2745	28450
88	2787	28528
89	2803	28346
90	2815	28124
91	2828	27912
92	2838	27680
93	2850	27471
94	2868	27326
95	2880	27125
96	2899	26989
97	2912	26803
98	2920	26582
99	2932	26391
100	2945	26214
101	2953	26002
102	2968	25853
103	2986	25730
104	3003	25599
105	3020	25478
106	3034	25322
107	3054	25224
108	3069	25092
109	3082	24940
110	3097	24811
111	3113	24682
112	3127	24550
113	3140	24408
114	3151	24253
115	3165	24122
116	3182	24019
117	3196	23896
118	3211	23776
119	3224	23647
120	3239	23531
121	3254	23420
122	3264	23277
123	3277	23155
124	3289	23026
125	3298	22879
126	3310	22755
127	3322	22631
128	3336	22529
129	3348	22408
130	3362	22303
131	3377	22209
132	3389	22096
133	3398	21962
134	3409	21848
135	3421	21736
136	3429	21605
137	3446	21527
138	3459	21428
139	3472	21333
140	3484	21230
141	3493	21109
142	3510	21035
143	3522	20942
144	3534	20840
145	3544	20734
146	3557	20640
147	3568	20545
148	3578	20438
149	3591	20350
150	3603	20259
151	3611	20150
152	3623	20057
153	3635	19970
154	3644	19865
155	3656	19784
156	3669	19705
157	3685	19641
158	3699	19568
159	3709	19473
160	3720	19389
161	3732	19308
162	3741	19210
163	3752	19130
164	3772	19090
165	3785	19016
166	3801	18960
167	3810	18871
168	3821	18791
169	3835	18725
170	3848	18658
171	3857	18570
172	3869	18499
173	3881	18426
174	3890	18342
175	3903	18277
176	3915	18205
177	3924	18121
178	3934	18044
179	3946	17979
180	3956	17904
181	3966	17826
182	3979	17765
183	3988	17686
184	3999	17619
185	4014	17567
186	4030	17522
187	4046	17476
188	4057	17412
189	4066	17335
190	4078	17276
191	4091	17218
192	4100	17145
193	4113	17089
194	4125	17029
195	4133	16957
196	4145	16899
197	4157	16841
198	4167	16774
199	4178	16713
200	4190	16659
201	4200	16592
202	4212	16539
203	4224	16483
204	4241	16449
205	4253	16393
206	4262	16330
207	4274	16274
208	4288	16231
209	4301	16183
210	4310	16120
211	4324	16073
212	4336	16020
213	4344	15956
214	4357	15910
215	4373	15873
216	4388	15833
217	4401	15789
218	4410	15729
219	4423	15684
220	4437	15640
221	4446	15581
222	4457	15530
223	4469	15484
224	4481	15436
225	4492	15384
226	4503	15335
227	4515	15290
228	4525	15235
229	4539	15198
230	4556	15167
231	4569	15126
232	4577	15069
233	4589	15023
234	4601	14978
235	4609	14923
236	4622	14882
237	4639	14853
238	4652	14812
239	4661	14759
240	4670	14707
241	4681	14664
242	4693	14622
243	4705	14580
244	4723	14555
245	4738	14523
246	4749	14479
247	4762	14441
248	4776	14407
249	4786	14359
250	4802	14330
251	4817	14300
252	4832	14268
253	4843	14226
254	4853	14179
255	4868	14148
256	4884	14121
257	4910	14121
258	4925	14091
259	4944	14073
260	4959	14043
261	4971	14004
262	4986	13974
263	5001	13942
264	5016	13913
265	5032	13887
266	5046	13854
267	5063	13829
268	5079	13804
269	5096	13779
270	5107	13740
271	5117	13695
272	5134	13672
273	5145	13634
274	5162	13610
275	5174	13572
276	5186	13536
277	5198	13500
278	5209	13462
279	5218	13418
280	5230	13382
281	5242	13348
282	5251	13305
283	5263	13270
284	5277	13241
285	5290	13208
286	5299	13165
287	5310	13129
288	5322	13093
289	5332	13055
290	5346	13025
291	5357	12991
292	5371	12960
293	5381	12923
294	5393	12889
295	5408	12863
296	5423	12836
297	5436	12807
298	5448	12774
299	5462	12744
300	5474	12713
301	5483	12672
302	5496	12642
303	5509	12613
304	5522	12584
305	5531	12545
306	5543	12513
307	5556	12484
308	5565	12446
309	5575	12410
310	5593	12392
311	5607	12365
312	5622	12340
313	5632	12306
314	5643	12272
315	5655	12240
316	5666	12208
317	5677	12177
318	5690	12148
319	5703	12119
320	5711	12082
321	5725	12054
322	5738	12028
323	5751	11999
324	5763	11969
325	5774	11939
326	5788	11912
327	5801	11886
328	5813	11857
329	5822	11821
330	5834	11792
331	5850	11770
332	5865	11749
333	5875	11715
334	5886	11685
335	5899	11657
336	5914	11635
337	5924	11603
338	5936	11576
339	5948	11547
340	5957	11512
341	5969	11484
342	5981	11456
343	5990	11422
344	6001	11393
345	6015	11369
346	6024	11336
347	6041	11318
348	6054	11293
349	6067	11268
350	6081	11245
351	6098	11227
352	6115	11209
353	6135	11195
354	6147	11169
355	6160	11144
356	6169	11111
357	6181	11084
358	6192	11057
359	6202	11026
360	6214	11000
361	6228	10977
362	6240	10951
363	6252	10925
364	6264	10898
365	6276	10873
366	6285	10841
367	6297	10814
368	6309	10789
369	6317	10757
370	6330	10733
371	6344	10709
372	6360	10692
373	6375	10671
374	6390	10650
375	6402	10625
376	6414	10600
377	6427	10576
378	6448	10566
